Unit	F	f_feminin	score_feminin	f_manuel	score_manuel	f_masculin	score_masculin
行者	103	0	-19.939	103	49.9469	0	-16.7902
就	102	21	-3.2385	67	10.9609	14	-4.4528
都	99	33	-0.4742	41	1.3478	25	-0.9306
女子	92	45	2.1482	27	-0.5566	20	-1.5436
只是	90	37	0.7468	20	-1.7281	33	0.796
地	88	38	1.0167	16	-2.7823	34	1.0677
将	72	26	0.2748	18	-1.014	28	0.9857
见	71	18	-1.4103	31	1.4391	22	-0.2695
个	71	14	-2.6371	42	5.3369	15	-1.4009
便	70	32	1.2352	11	-2.9924	27	0.9292
；	70	3	-9.5224	60	19.1564	7	-4.6033
妖怪	68	34	1.9222	11	-2.7886	23	0.4354
好	67	15	-1.9069	42	6.2858	10	-2.7453
还	64	19	-0.74	32	2.4901	13	-1.4447
要	59	11	-2.5193	36	5.088	12	-1.3602
一	58	20	-0.3292	16	-0.6167	22	0.7715
随即	58	30	2.0061	1	-8.5594	27	1.9832
再	58	20	-0.3292	21	0.4734	17	-0.3605
圣僧	57	28	1.5557	1	-8.3937	28	2.4398
蝎子	57	27	1.3026	5	-4.6963	25	1.5162
与	56	11	-2.1973	33	4.2778	12	-1.1485
已	55	29	2.1023	3	-5.9697	23	1.1962
罢	55	12	-1.7464	30	3.1424	13	-0.8525
吃	55	10	-2.4841	33	4.5003	12	-1.081
和	54	16	-0.6846	29	2.9132	9	-1.9259
到	54	18	-0.3932	26	1.8634	10	-1.5768
从	54	27	1.6286	12	-1.2104	15	-0.4577
叫	54	3	-6.7579	49	18.074	2	-6.2881
被	53	24	0.9922	14	-0.6992	15	-0.4174
听	52	14	-0.9513	25	1.8013	13	-0.6848
一声	52	23	0.8693	7	-2.8865	22	1.2165
只	51	18	-0.2787	19	0.5296	14	-0.4719
对	48	23	1.2318	11	-1.0325	14	-0.3513
取经	48	16	-0.3799	18	0.5355	14	-0.3513
几分	48	23	1.2318	0	-8.2975	25	2.6706
笑	47	18	0.3764	18	0.5913	11	-0.8032
问	46	4	-4.6129	38	11.3194	4	-3.5539
想	46	21	0.9515	16	0.354	9	-1.2516
这话	45	21	1.0439	2	-5.3637	22	1.9977
声音	45	23	1.5815	0	-7.7786	22	1.9977
打	45	12	-0.8992	25	2.8599	8	-1.4934
大	45	15	-0.3729	13	-0.4566	17	0.6684
站	45	21	1.0439	6	-2.585	18	0.8687
请	45	13	-0.688	23	2.0775	9	-1.1745
金箍棒	45	23	1.5815	4	-3.7594	18	0.8687
弟子	45	21	1.0439	6	-2.585	18	0.8687
精	45	21	1.0439	5	-3.1287	19	1.1011
我们	45	4	-4.4571	38	11.9125	3	-4.1347
下	44	18	0.532	12	-0.5677	14	0.2801
哪里	44	8	-2.0764	28	4.5654	8	-1.4082
眼睛	44	25	2.4273	0	-7.6056	19	1.1942
自己	44	20	0.9081	9	-1.282	15	0.4014
出	43	14	-0.4121	16	0.4936	13	-0.2874
往	43	21	1.2519	9	-1.1995	13	-0.2874
可	42	10	-1.1748	22	2.1677	10	-0.7165
东西	42	20	1.0994	7	-1.8064	15	0.4972
眼神	41	25	3.0237	0	-7.0868	16	0.7405
不是	41	16	0.4029	12	-0.4178	13	0.2725
徒弟	40	7	-2.0419	27	5.1263	6	-1.7984
不知	40	13	-0.4056	17	0.8901	10	-0.6003
担子	40	24	2.7857	0	-6.9138	16	0.8145
过	40	18	0.8208	8	-1.2572	14	0.4437
贫僧	40	17	0.6218	8	-1.2572	15	0.6119
心里	40	21	1.6314	1	-5.6007	18	1.3275
今日	39	13	-0.3579	11	-0.4751	15	0.6773
等	39	11	-0.6936	21	2.2709	7	-1.3221
起来	39	20	1.4513	8	-1.1721	11	-0.3831
带	39	14	-0.2434	8	-1.1721	17	1.1492
它	39	18	0.9109	3	-3.6383	18	1.4415
呆子	38	1	-6.0003	36	14.9189	1	-4.9264
有些	38	16	0.5802	7	-1.4171	15	0.7487
坐	38	16	0.5802	13	0.3115	9	-0.6891
国师	38	19	1.2797	0	-6.568	19	1.9146
猪八戒	37	4	-3.2441	28	6.9445	5	-1.9381
一眼	37	18	1.117	3	-3.3587	16	1.0766
像	37	16	0.6525	1	-5.1141	20	2.4809
手里	36	19	1.5463	2	-3.9935	15	0.9114
微微	36	19	1.5463	0	-6.2221	17	1.488
但	36	13	0.2571	10	-0.4861	13	0.4939
出来	36	13	0.2571	15	0.7706	8	-0.7931
多	35	13	0.2979	10	-0.4337	12	0.3864
怎么	35	9	-0.8584	21	3.0632	5	-1.7294
女	35	12	-0.3041	12	0.31	11	0.2559
几个	35	18	1.363	8	-0.8536	9	-0.5144
目光	34	19	1.8624	0	-5.8763	15	1.1046
倒	34	11	-0.3918	10	-0.3841	13	0.6187
向	34	14	0.4971	4	-2.3318	16	1.4114
你们	34	7	-1.3778	20	2.7927	7	-0.9157
白骨精	34	11	-0.3918	12	0.3544	11	0.2929
这里	33	8	-0.9599	21	3.5583	4	-1.9947
陛下	33	14	0.5657	5	-1.7142	14	0.931
而	32	10	-0.4402	10	-0.2938	12	0.5547
若	32	13	0.4556	10	-0.2938	9	-0.3632
没	32	15	0.8709	5	-1.6063	12	0.5547
只见	32	9	-0.6311	15	1.1629	8	-0.5388
之	32	6	-1.5438	19	2.7439	7	-0.7686
本王	32	16	1.1429	0	-5.5304	16	1.6852
能	31	9	-0.562	13	0.7317	9	-0.3183
一下	31	15	0.9778	7	-0.816	9	-0.3183
那些	31	9	-0.562	16	1.6333	6	-0.9787
沙和尚	31	2	-3.7777	27	9.2333	2	-3.0013
三藏	31	4	-2.3843	26	8.1796	1	-3.869
望	30	18	2.2107	2	-3.1067	10	0.3271
看看	30	11	0.2719	10	0.264	9	-0.2765
不敢	30	8	-0.7112	15	1.4203	7	-0.6316
轻轻	30	17	1.7879	0	-5.1846	13	0.9545
师徒	30	5	-1.7401	19	3.2293	6	-0.8979
大圣	30	3	-2.8607	24	6.8276	3	-2.1974
开口	29	15	1.2277	0	-5.0118	14	1.3865
看见	29	11	0.3188	7	-0.6673	11	0.5571
一种	29	18	2.4325	0	-5.0118	11	0.5571
您	29	14	0.9302	0	-5.0118	15	1.7635
给	28	3	-2.5605	23	6.9593	2	-2.5956
让	28	9	-0.3766	10	0.3553	9	0.2752
点头	28	15	1.3735	0	-4.8389	13	1.178
悄悄	28	14	1.049	2	-2.8175	12	0.8789
看着	28	15	1.3735	0	-4.8389	13	1.178
合十	28	15	1.3735	0	-4.8389	13	1.178
地上	28	14	1.049	3	-2.1505	11	0.6301
妖	28	15	1.3735	3	-2.1505	10	0.4298
人家	27	7	-0.721	14	1.5023	6	-0.6711
停	27	14	1.1817	1	-3.5137	12	0.9831
沉默	27	15	1.5355	0	-4.666	12	0.9831
神情	27	15	1.5355	0	-4.666	12	0.9831
才	26	9	-0.2727	9	0.3047	8	-0.242
脸上	26	15	1.7157	0	-4.4931	11	0.8029
西天	26	7	-0.6404	14	1.6669	5	-0.8818
做	26	7	-0.6404	15	2.1065	4	-1.2488
孙悟空	26	2	-2.956	21	6.1609	3	-1.7217
‘	26	0	-5.0275	26	12.5875	0	-4.2338
时	25	9	0.2429	8	-0.2522	8	0.2651
盯	25	15	1.9165	0	-4.3202	10	0.6386
更	25	12	0.8327	3	-1.7717	10	0.6386
三个	25	5	-1.1601	18	4.1566	2	-2.1987
知道	25	10	0.3902	6	-0.6236	9	0.4265
妖精	25	1	-3.6572	23	8.9847	1	-2.9783
一次	25	11	0.5855	3	-1.7717	11	0.9047
如何	25	8	-0.3682	5	-0.9122	12	1.2272
菩萨	25	2	-2.7948	23	8.9847	0	-4.0709
’	25	0	-4.8341	25	12.1031	0	-4.0709
低声	24	13	1.2857	0	-4.1474	11	1.0185
话	24	8	-0.312	9	0.4151	7	-0.2917
片刻	24	13	1.2857	0	-4.1474	11	1.0185
扫	24	13	1.2857	1	-3.0424	10	0.7265
喝	24	7	-0.4911	13	1.6029	4	-1.0536
老孙	24	7	-0.4911	11	0.8927	6	-0.4707
心中	24	11	0.6775	3	-1.6489	10	0.7265
模样	24	10	0.4581	3	-1.6489	11	1.0185
身上	23	12	1.0878	1	-2.8866	10	0.8256
山路	23	11	0.7826	1	-2.8866	11	1.146
头	23	10	0.5366	8	0.3026	5	-0.6426
低头	23	14	1.8893	0	-3.9745	9	0.5655
她们	23	3	-1.8385	20	6.9204	0	-3.7451
佛珠	22	13	1.6474	0	-3.8016	9	0.6498
像是	22	17	4.036	0	-3.8016	5	-0.5691
谁	22	10	0.627	6	-0.4186	6	-0.3538
前	22	10	0.627	7	-0.2513	5	-0.5691
些	22	10	0.627	5	-0.6559	7	0.2539
三人	22	7	-0.3592	11	1.1479	4	-0.8685
变	22	7	-0.3592	9	0.5605	6	-0.3538
吧	22	3	-1.7	18	5.4935	1	-2.5404
一行	22	7	-0.3592	3	-1.4093	12	1.7071
忙	22	1	-3.1286	18	5.4935	3	-1.2728
妇人	22	0	-4.2538	22	10.6501	0	-3.5822
女儿	21	1	-2.9538	20	8.5218	0	-3.4193
放下	21	10	0.7314	2	-1.8403	9	0.7457
钉	21	12	1.4162	0	-3.6288	9	0.7457
睡	21	10	0.7314	3	-1.2928	8	0.4927
就是	21	5	-0.7516	11	1.3007	5	-0.4991
儿	21	3	-1.564	15	3.4779	3	-1.1658
会	21	9	0.4869	5	-0.5773	7	0.301
师兄	21	0	-4.0604	5	-0.5773	16	4.5278
住	20	8	0.3633	5	-0.5027	7	0.356
上前	20	6	-0.4168	9	0.7519	5	-0.4327
脸	20	11	1.1969	1	-2.4235	8	0.5727
用	20	7	-0.2466	9	0.7519	4	-0.695
钯	20	11	1.1969	0	-3.4559	9	0.8549
平静	20	11	1.1969	0	-3.4559	9	0.8549
手	20	7	-0.2466	7	0.3002	6	-0.2522
打死	20	3	-1.4305	14	3.1341	3	-1.0612
御弟	20	0	-3.867	20	9.6815	0	-3.2565
这些	19	4	-0.8811	11	1.6706	4	-0.6132
觉得	19	12	1.8438	1	-2.2708	6	0.2413
四人	19	9	0.6788	5	-0.4321	5	-0.3703
坐在	19	10	0.9909	3	-1.0675	6	0.2413
说话	19	9	0.6788	1	-2.2708	9	0.9797
比	19	11	1.3775	0	-3.2831	8	0.6648
哼	19	9	0.6788	2	-1.5743	8	0.6648
一口气	19	9	0.6788	1	-2.2708	9	0.9797
还是	19	7	0.2576	6	-0.25	6	0.2413
旁边	19	10	0.9909	0	-3.2831	9	0.9797
和尚	19	4	-0.8811	11	1.6706	4	-0.6132
来到	19	5	-0.5713	9	0.8695	5	-0.3703
他们	19	1	-2.607	17	6.3174	1	-2.1093
官	19	6	-0.3494	7	0.3588	6	0.2413
咱们	18	5	-0.4883	8	0.6795	5	-0.3121
打量	18	9	0.7996	0	-3.1103	9	1.1225
无	18	7	0.3152	4	-0.6103	7	0.4953
一步	18	10	1.1522	1	-2.1191	7	0.4953
一处	18	10	1.1522	0	-3.1103	8	0.7711
变成	18	2	-1.7076	13	3.1434	3	-0.86
事	18	6	-0.2873	7	0.4279	5	-0.3121
猴子	18	4	-0.776	6	0.2445	8	0.7711
老妪	18	9	0.7996	0	-3.1103	9	1.1225
中	18	7	0.3152	5	-0.366	6	0.2903
为	18	5	-0.4883	8	0.6795	5	-0.3121
女儿国	18	5	-0.4883	8	0.6795	5	-0.3121
此	18	3	-1.1722	12	2.4712	3	-0.86
悟	17	7	0.3846	4	-0.5276	6	0.3485
猴哥	17	1	-2.2641	4	-0.5276	12	3.0046
听见	17	10	1.3399	2	-1.3163	5	-0.2583
起	17	5	-0.4105	6	0.2975	6	0.3485
一丝	17	12	2.4128	0	-2.9374	5	-0.2583
大唐	17	5	-0.4105	7	0.5093	5	-0.2583
拿	17	4	-0.6753	11	2.1542	2	-1.2011
不要	17	2	-1.5599	13	3.5438	2	-1.2011
说完	17	8	0.6247	2	-1.3163	7	0.583
下来	17	4	-0.6753	7	0.5093	6	0.3485
不可	17	5	-0.4105	7	0.5093	5	-0.2583
送	17	4	-0.6753	9	1.1615	4	-0.4608
扯	17	7	0.3846	2	-1.3163	8	0.8941
后	17	3	-1.048	10	1.6124	4	-0.4608
仍	17	7	0.3846	3	-0.854	7	0.583
正是	17	3	-1.048	9	1.1615	5	-0.2583
斋	17	5	-0.4105	12	2.7944	0	-2.7679
先生	17	0	-3.2868	17	8.2287	0	-2.7679
前方	16	8	0.7459	1	-1.8191	7	0.6857
脚步	16	10	1.5595	1	-1.8191	5	-0.2092
沙	16	7	0.468	3	-0.7524	6	0.4176
嘴角	16	8	0.7459	0	-2.7646	8	1.0367
忽然	16	10	1.5595	0	-2.7646	6	0.4176
口气	16	9	1.1073	0	-2.7646	7	0.6857
口	16	6	0.2666	5	-0.2483	5	-0.2092
怕	16	5	-0.3384	10	1.8485	1	-1.687
下去	16	7	0.468	2	-1.1908	7	0.6857
旁	16	8	0.7459	1	-1.8191	7	0.6857
棒子	16	7	0.468	3	-0.7524	6	0.4176
啊	16	1	-2.0945	14	5.014	1	-1.687
挑着	16	7	0.468	2	-1.1908	7	0.6857
后头	16	8	0.7459	0	-2.7646	8	1.0367
这个	16	3	-0.9275	10	1.8485	3	-0.6714
那个	16	5	-0.3384	5	-0.2483	6	0.4176
为师	16	8	0.7459	0	-2.7646	8	1.0367
两个	16	2	-1.4147	9	1.3433	5	-0.2092
女人	16	2	-1.4147	12	3.1713	2	-1.085
们	16	2	-1.4147	12	3.1713	2	-1.085
师弟	16	0	-3.0934	8	0.931	8	1.0367
水	16	0	-3.0934	15	6.2158	1	-1.687
出家人	15	5	-0.2724	5	0.2371	5	0.2778
老妇人	15	14	5.2276	1	-1.6711	0	-2.4422
耳朵	15	7	0.5686	0	-2.5918	8	1.2031
这么	15	6	0.3317	7	0.7195	2	-0.9716
那种	15	9	1.3038	1	-1.6711	5	0.2778
并	15	6	0.3317	3	-0.6547	6	0.5
此刻	15	9	1.3038	0	-2.5918	6	0.5
怪	15	2	-1.2722	12	3.6183	1	-1.5488
起身	15	6	0.3317	3	-0.6547	6	0.5
终究	15	7	0.5686	0	-2.5918	8	1.2031
顿	15	9	1.3038	0	-2.5918	6	0.5
待	15	4	-0.4889	8	1.0899	3	-0.5826
殿	15	6	0.3317	3	-0.6547	6	0.5
太师	15	0	-2.9	15	7.2603	0	-2.4422
熊王	15	0	-2.9	0	-2.5918	15	7.5778
当	14	2	-1.1329	10	2.4504	2	-0.861
回来	14	3	-0.6994	6	0.5296	5	0.3401
很	14	5	-0.2129	4	-0.3079	5	0.3401
吗	14	2	-1.1329	10	2.4504	2	-0.861
定	14	6	0.4117	2	-0.948	6	0.5982
阿弥陀佛	14	7	0.6901	0	-2.419	7	0.9487
一遍	14	8	1.0624	0	-2.419	6	0.5982
还有	14	7	0.6901	4	-0.3079	3	-0.4979
难得	14	6	0.4117	2	-0.948	6	0.5982
平时	14	8	1.0624	0	-2.419	6	0.5982
握	14	7	0.6901	0	-2.419	7	0.9487
渐渐	14	7	0.6901	2	-0.948	5	0.3401
放	14	3	-0.6994	9	1.8059	2	-0.861
气息	14	8	1.0624	0	-2.419	6	0.5982
口中	14	6	0.4117	2	-0.948	6	0.5982
那里	14	5	-0.2129	6	0.5296	3	-0.4979
神色	14	6	0.4117	0	-2.419	8	1.3983
师姐	14	14	6.2264	0	-2.419	0	-2.2793
长老	14	5	-0.2129	8	1.2776	1	-1.4119
一股	14	7	0.6901	0	-2.419	7	0.9487
一道	14	5	-0.2129	4	-0.3079	5	0.3401
明白	14	6	0.4117	2	-0.948	6	0.5982
女婿	14	0	-2.7067	14	6.7762	0	-2.2793
招	14	0	-2.7067	14	6.7762	0	-2.2793
天	13	6	0.5101	4	-0.2457	3	-0.4178
自	13	5	0.2776	3	-0.4727	5	0.4158
不能	13	4	-0.3258	6	0.6408	3	-0.4178
最后	13	7	0.8375	0	-2.2461	6	0.7159
闻言	13	5	0.2776	5	0.3645	3	-0.4178
老	13	4	-0.3258	7	1.0167	2	-0.7538
念	13	4	-0.3258	6	0.6408	3	-0.4178
路	13	6	0.5101	2	-0.8315	5	0.4158
踩	13	8	1.2702	1	-1.3797	4	-0.2103
抬起	13	9	1.8199	0	-2.2461	4	-0.2103
眼中	13	6	0.5101	1	-1.3797	6	0.7159
回去	13	4	-0.3258	7	1.0167	2	-0.7538
转身	13	7	0.8375	1	-1.3797	5	0.4158
连	13	3	-0.5928	7	1.0167	3	-0.4178
已经	13	5	0.2776	3	-0.4727	5	0.4158
提	13	4	-0.3258	5	0.3645	4	-0.2103
方向	13	8	1.2702	1	-1.3797	4	-0.2103
分明	13	5	0.2776	3	-0.4727	5	0.4158
过来	13	3	-0.5928	8	1.501	2	-0.7538
便是	13	3	-0.5928	6	0.6408	4	-0.2103
一块	13	6	0.5101	3	-0.4727	4	-0.2103
捻	13	6	0.5101	0	-2.2461	7	1.1177
快	13	1	-1.5947	10	2.8427	2	-0.7538
四个	13	5	0.2776	4	-0.2457	4	-0.2103
文牒	13	5	0.2776	3	-0.4727	5	0.4158
关文	13	1	-1.5947	11	3.7418	1	-1.2768
孙大圣	13	0	-2.5133	13	6.292	0	-2.1165
默默	12	7	1.0177	0	-2.0733	5	0.5083
行	12	6	0.6318	4	0.2276	2	-0.6502
打断	12	6	0.6318	1	-1.2367	5	0.5083
低	12	5	0.353	1	-1.2367	6	0.8577
算是	12	7	1.0177	0	-2.0733	5	0.5083
有人	12	6	0.6318	2	-0.7188	4	0.2629
身后	12	7	1.0177	0	-2.0733	5	0.5083
门口	12	9	2.1654	1	-1.2367	2	-0.6502
不肯	12	3	-0.492	8	1.7702	1	-1.1435
发现	12	7	1.0177	0	-2.0733	5	0.5083
认真	12	7	1.0177	0	-2.0733	5	0.5083
禅杖	12	7	1.0177	0	-2.0733	5	0.5083
一只	12	4	-0.2546	5	0.4512	3	-0.3428
收回	12	6	0.6318	0	-2.0733	6	0.8577
收	12	4	-0.2546	5	0.4512	3	-0.3428
一会儿	12	6	0.6318	4	0.2276	2	-0.6502
压	12	6	0.6318	1	-1.2367	5	0.5083
唐僧见	12	2	-0.8653	6	0.7759	4	0.2629
喉咙	12	6	0.6318	0	-2.0733	6	0.8577
二	12	5	0.353	2	-0.7188	5	0.5083
挂	12	6	0.6318	2	-0.7188	4	0.2629
一棒	12	4	-0.2546	2	-0.7188	6	0.8577
棒	12	4	-0.2546	2	-0.7188	6	0.8577
一路	12	5	0.353	0	-2.0733	7	1.3202
面色	12	6	0.6318	0	-2.0733	6	0.8577
侍女	12	6	0.6318	0	-2.0733	6	0.8577
佛法	12	6	0.6318	0	-2.0733	6	0.8577
土地	12	2	-0.8653	7	1.2118	3	-0.3428
昴	12	5	0.353	3	-0.3895	4	0.2629
洞	12	2	-0.8653	10	3.3271	0	-1.9537
婆婆	12	0	-2.3199	12	5.8079	0	-1.9537
疼	12	0	-2.3199	12	5.8079	0	-1.9537
星官	12	0	-2.3199	12	5.8079	0	-1.9537
娘	12	0	-2.3199	12	5.8079	0	-1.9537
如今	11	3	-0.3977	6	0.9413	2	-0.5507
缓缓	11	6	0.7833	0	-1.9005	5	0.622
前头	11	6	0.7833	0	-1.9005	5	0.622
四周	11	8	1.8374	0	-1.9005	3	-0.2735
问道	11	5	0.4485	3	-0.3122	3	-0.2735
呀	11	3	-0.3977	6	0.9413	2	-0.5507
嘴	11	2	-0.738	6	0.9413	3	-0.2735
叹	11	6	0.7833	0	-1.9005	5	0.622
虽	11	5	0.4485	6	0.9413	0	-1.7908
饭	11	3	-0.3977	5	0.5588	3	-0.2735
声	11	5	0.4485	1	-1.096	5	0.622
令	11	6	0.7833	0	-1.9005	5	0.622
抡	11	4	0.222	2	-0.6103	5	0.622
之后	11	4	0.222	4	0.2902	3	-0.2735
点	11	5	0.4485	0	-1.9005	6	1.0301
秋日	11	6	0.7833	0	-1.9005	5	0.622
紧	11	4	0.222	2	-0.6103	5	0.622
果然	11	2	-0.738	6	0.9413	3	-0.2735
经过	11	4	0.222	2	-0.6103	5	0.622
米饭	11	4	0.222	3	-0.3122	4	0.3304
副	11	5	0.4485	0	-1.9005	6	1.0301
尸首	11	4	0.222	3	-0.3122	4	0.3304
死	11	3	-0.3977	5	0.5588	3	-0.2735
走上	11	3	-0.3977	4	0.2902	4	0.3304
平日	11	3	-0.3977	1	-1.096	7	1.566
取	11	2	-0.738	6	0.9413	3	-0.2735
一时	11	4	0.222	2	-0.6103	5	0.622
别	11	3	-0.3977	5	0.5588	3	-0.2735
可以	11	3	-0.3977	3	-0.3122	5	0.622
曾	11	3	-0.3977	6	0.9413	2	-0.5507
慢慢	11	4	0.222	1	-1.096	6	1.0301
人们	11	5	0.4485	1	-1.096	5	0.622
高僧	11	5	0.4485	0	-1.9005	6	1.0301
可是	11	2	-0.738	5	0.5588	4	0.3304
东土	11	4	0.222	4	0.2902	3	-0.2735
琵琶	11	3	-0.3977	7	1.4499	1	-1.0124
门	11	3	-0.3977	4	0.2902	4	0.3304
日星	11	5	0.4485	2	-0.6103	4	0.3304
进去	11	3	-0.3977	8	2.1005	0	-1.7908
常言道	11	1	-1.2711	10	3.9521	0	-1.7908
哥哥	11	0	-2.1266	11	5.3238	0	-1.7908
天色	10	5	0.5701	1	-0.9579	4	0.4154
落	10	7	1.5206	0	-1.7277	3	-0.2106
一番	10	4	0.2914	1	-0.9579	5	0.7628
院子	10	9	3.1718	0	-1.7277	1	-0.8838
回头	10	5	0.5701	2	-0.5068	3	-0.2106
转向	10	5	0.5701	0	-1.7277	5	0.7628
孩子	10	1	-1.1132	6	1.1464	3	-0.2106
谢	10	6	0.9738	1	-0.9579	3	-0.2106
弄	10	1	-1.1132	9	3.5076	0	-1.628
动	10	4	0.2914	3	-0.2416	3	-0.2106
寻常	10	7	1.5206	0	-1.7277	3	-0.2106
完	10	4	0.2914	1	-0.9579	5	0.7628
身	10	4	0.2914	3	-0.2416	3	-0.2106
还要	10	4	0.2914	3	-0.2416	3	-0.2106
影子	10	6	0.9738	0	-1.7277	4	0.4154
一瞬	10	5	0.5701	0	-1.7277	5	0.7628
性命	10	1	-1.1132	8	2.5169	1	-0.8838
该	10	5	0.5701	1	-0.9579	4	0.4154
呢	10	1	-1.1132	8	2.5169	1	-0.8838
因为	10	5	0.5701	2	-0.5068	3	-0.2106
真实	10	6	0.9738	0	-1.7277	4	0.4154
一点	10	6	0.9738	0	-1.7277	4	0.4154
真是	10	3	-0.3108	4	0.3699	3	-0.2106
那边	10	5	0.5701	0	-1.7277	5	0.7628
大约	10	5	0.5701	0	-1.7277	5	0.7628
几步	10	4	0.2914	0	-1.7277	6	1.2424
深吸	10	5	0.5701	0	-1.7277	5	0.7628
回	10	2	-0.616	6	1.1464	2	-0.456
早已	10	4	0.2914	0	-1.7277	6	1.2424
继续	10	4	0.2914	2	-0.5068	4	0.4154
紧箍咒	10	1	-1.1132	7	1.7459	2	-0.456
言语	10	5	0.5701	1	-0.9579	4	0.4154
一阵	10	5	0.5701	1	-0.9579	4	0.4154
不见	10	1	-1.1132	6	1.1464	3	-0.2106
唐三藏	10	2	-0.616	7	1.7459	1	-0.8838
马	10	3	-0.3108	4	0.3699	3	-0.2106
没事	10	4	0.2914	2	-0.5068	4	0.4154
生	10	3	-0.3108	3	-0.2416	4	0.4154
一座	10	2	-0.616	6	1.1464	2	-0.456
茶	10	5	0.5701	1	-0.9579	4	0.4154
乃	10	2	-0.616	6	1.1464	2	-0.456
欠身	10	4	0.2914	2	-0.5068	4	0.4154
至	10	4	0.2914	1	-0.9579	5	0.7628
开	10	2	-0.616	0	-1.7277	8	2.6695
红	10	5	0.5701	0	-1.7277	5	0.7628
对付	10	5	0.5701	0	-1.7277	5	0.7628
护	10	5	0.5701	0	-1.7277	5	0.7628
本	10	4	0.2914	1	-0.9579	5	0.7628
兄弟	10	0	-1.9332	10	4.8397	0	-1.628
衣服	10	0	-1.9332	10	4.8397	0	-1.628
那怪	10	0	-1.9332	10	4.8397	0	-1.628
七个	10	0	-1.9332	10	4.8397	0	-1.628
正	9	1	-0.9583	5	0.8632	3	0.2439
安歇	9	3	-0.2323	3	0.2146	3	0.2439
嘴里	9	5	0.7267	1	-0.8227	3	0.2439
动了动	9	5	0.7267	0	-1.5549	4	0.5235
挺	9	3	-0.2323	2	-0.409	4	0.5235
正在	9	3	-0.2323	4	0.4723	2	-0.3669
异样	9	5	0.7267	0	-1.5549	4	0.5235
想起	9	5	0.7267	1	-0.8227	3	0.2439
的话	9	4	0.3827	3	0.2146	2	-0.3669
落地	9	6	1.2177	0	-1.5549	3	0.2439
亮	9	6	1.2177	0	-1.5549	3	0.2439
半步	9	5	0.7267	0	-1.5549	4	0.5235
寻	9	2	-0.5002	6	1.4053	1	-0.7582
留	9	5	0.7267	0	-1.5549	4	0.5235
猴姐	9	9	4.0023	0	-1.5549	0	-1.4652
不再	9	4	0.3827	1	-0.8227	4	0.5235
捏	9	6	1.2177	0	-1.5549	3	0.2439
马上	9	4	0.3827	2	-0.409	3	0.2439
无人	9	2	-0.5002	2	-0.409	5	0.9395
瞧	9	5	0.7267	0	-1.5549	4	0.5235
间	9	4	0.3827	1	-0.8227	4	0.5235
火眼金睛	9	4	0.3827	1	-0.8227	4	0.5235
压低	9	4	0.3827	0	-1.5549	5	0.9395
